,Rank,Athlete,Age,Team,Total Points,100-metres Rank,100-metres,100-metres PTS,long-jump Rank,long-jump,long-jump PTS,shot-put Rank,shot-put,shot-put PTS,high-jump Rank,high-jump,high-jump PTS,400-metres Rank,400-metres,400-metres PTS,110-metre-hurdles Rank,110-metre-hurdles,110-metre-hurdles PTS,discus-throw Rank,discus-throw,discus-throw PTS,pole-vault Rank,pole-vault,pole-vault PTS,javelin-throw Rank,javelin-throw,javelin-throw PTS,1500-metres Rank,1500-metres,1500-metres PTS,Competition,Date,Location
0,1,Daley Thompson,21.0,Great Britain,8522.0,1,10.62,947,1,8.0,1061.0,5,15.18,801,2T,2.08,878,1,48.01,909.0,2,14.47,915.0,12,42.24,710,5T,4.7,819.0,6,64.16,801.0,10,279.9,681.0,Olympics,2000-09-27,Sydney
1,2,Yury Kutsenko,28.0,Soviet Union,8369.0,6,11.19,819,2,7.74,995.0,7,14.5,759,2T,2.08,878,3T,48.67,877.0,9,15.04,845.0,15,39.86,662,1T,4.9,880.0,2,68.08,860.0,1,262.6,794.0,Olympics,2000-09-27,Sydney
2,3,Sergey Zhelanov,23.0,Soviet Union,8135.0,16T,11.4,774,4,7.6,960.0,11,14.17,739,1,2.18,973,8,49.27,849.0,6T,14.83,870.0,10,42.8,722,7T,4.6,790.0,10,57.3,697.0,3,267.5,761.0,Olympics,2000-09-27,Sydney
3,4,Georg Werthner,24.0,Austria,8084.0,20,11.44,765,9T,7.27,878.0,15,13.45,695,8T,2.03,831,7,49.26,849.0,10,15.08,840.0,18,38.14,627,3,4.85,865.0,1,73.66,945.0,2,263.4,789.0,Olympics,2000-09-27,Sydney
4,5,Sepp Zeilbauer,27.0,Austria,7989.0,11,11.29,797,12,7.14,847.0,4,15.31,809,8T,2.03,831,16,50.91,773.0,4,14.8,874.0,9,44.0,746,10,4.5,760.0,5,64.86,811.0,7,270.6,741.0,Olympics,2000-09-27,Sydney
5,6,Dariusz Ludwig,25.0,Poland,7972.0,13T,11.35,784,5,7.51,937.0,17,13.32,687,2T,2.08,878,15,50.55,789.0,15,15.38,804.0,6,45.82,784,4,4.8,849.0,7,58.38,713.0,5,269.7,747.0,Olympics,2000-09-27,Sydney
6,7,Atanas Andonov,25.0,Bulgaria,7887.0,15,11.38,778,15T,6.86,781.0,3,15.59,826,11T,2.0,803,13,50.36,798.0,6T,14.83,870.0,3,47.62,821,5T,4.7,819.0,15,53.54,641.0,4,269.2,750.0,Olympics,2000-09-27,Sydney
7,8,Steffen Grummt,20.0,East Germany,7840.0,13T,11.35,784,15T,6.86,781.0,2,16.15,861,14,1.94,749,9,49.39,843.0,5,14.82,871.0,1,48.56,840,13T,4.3,702.0,14,55.24,666.0,6,270.2,743.0,Olympics,2000-09-27,Sydney
8,9,Esa Jokinen,22.0,Finland,7792.999999999999,16T,11.4,774,9T,7.27,878.0,12,14.12,736,6T,2.06,859,6,49.06,858.0,17,15.62,776.0,14,40.48,674,16,4.2,673.0,3,67.38,849.0,9,274.4,716.0,Olympics,2000-09-27,Sydney
9,10,Janusz Szczerkowski,26.0,Poland,7794.0,7T,11.22,812,6,7.38,905.0,13,14.06,732,11T,2.0,803,10,49.64,831.0,3,14.57,902.0,8,44.74,761,1T,4.9,880.0,16,45.22,518.0,13T,284.9,650.0,Olympics,2000-09-27,Sydney
10,11,Johannes Lahti,28.0,Finland,7725.0,12,11.32,791,11,7.2,862.0,10,14.28,745,8T,2.03,831,12,50.06,812.0,11,15.14,833.0,11,42.44,714,7T,4.6,790.0,11,56.94,692.0,11,284.0,655.0,Olympics,2000-09-27,Sydney
11,12,Stephan Niklaus,22.0,Switzerland,7721.0,5,11.17,823,14,6.93,797.0,9,14.29,746,13,1.97,776,11,49.74,827.0,8,14.96,854.0,13,42.18,709,13T,4.3,702.0,4,66.54,837.0,13T,284.9,650.0,Olympics,2000-09-27,Sydney
12,13,Peter Hadfield,25.0,Australia,7657.999999999999,3,11.04,852,7,7.36,900.0,16,13.34,688,17T,1.85,670,2,48.4,890.0,12,15.18,828.0,7,45.08,768,11T,4.4,731.0,13,56.12,680.0,12,284.7,651.0,Olympics,2000-09-27,Sydney
13,14,Razvigor Yankov,26.0,Bulgaria,7572.0,9,11.26,804,19,6.61,723.0,1,16.28,869,17T,1.85,670,14,50.37,798.0,18,15.69,768.0,2,48.02,829,7T,4.6,790.0,8,58.12,710.0,15,291.2,611.0,Olympics,2000-09-27,Sydney
15,16,Columba Blango,24.0,Sierra Leone,5213.999999999999,16T,11.4,774,20,6.4,675.0,20,10.0,486,17T,1.85,670,19,53.48,661.0,16,15.45,796.0,19,23.08,330,AC,,0.0,17,36.2,387.0,16,322.9,435.0,Olympics,2000-09-27,Sydney
16,1,Willi Holdorf,24.0,Germany,7726.0,1T,10.7,874,5T,7.0,814.0,2,14.95,787,8T,1.84,661,1,48.2,893.0,5T,15.0,821.0,2,46.05,788,7T,4.2,673.0,10,57.37,698.0,9,274.3,717.0,Olympics,1964-10-19,Tokyo
17,2,Rein Aun,24.0,Soviet Union,7677.000000000001,3T,10.9,830,1T,7.22,866.0,9,13.82,717,2T,1.93,740,2,48.8,864.0,13T,15.9,717.0,5,44.19,750,7T,4.2,673.0,7,59.06,724.0,2,262.3,796.0,Olympics,1964-10-19,Tokyo
18,3,Hans-Joachim Walde,22.0,Germany,7666.0,5T,11.0,808,3,7.21,864.0,4,14.45,756,1,1.96,767,7T,49.5,831.0,10,15.3,785.0,9,43.15,729,10,4.1,645.0,4,62.9,782.0,10,277.0,699.0,Olympics,1964-10-19,Tokyo
19,4,Paul Herman,23.0,United States,7651.0,12T,11.2,765,8,6.97,807.0,8,13.89,722,6T,1.87,687,5T,49.2,845.0,8T,15.2,797.0,6,44.15,749,5,4.35,716.0,3,63.35,788.0,6,265.4,775.0,Olympics,1964-10-19,Tokyo
20,5,Yang C. K.,31.0,Chinese Taipei,7539.0,5T,11.0,808,11,6.8,767.0,13,13.23,681,10T,1.81,636,3,49.0,855.0,1,14.7,857.0,13,39.59,656,1T,4.6,790.0,1,68.15,861.0,13,288.4,628.0,Olympics,1964-10-19,Tokyo
21,6,Horst Beyer,24.0,Germany,7488.0,12T,11.2,765,4,7.02,818.0,6,14.32,748,4T,1.9,714,11,49.8,817.0,8T,15.2,797.0,3,45.17,770,14,3.8,562.0,8,58.17,710.0,3,263.6,787.0,Olympics,1964-10-19,Tokyo
22,7,Vasily Kuznetsov,32.0,Soviet Union,7454.0,3T,10.9,830,7,6.98,809.0,7,14.06,732,16T,1.7,544,7T,49.5,831.0,3T,14.9,833.0,7,43.81,742,3T,4.4,731.0,2,67.87,857.0,17,302.5,545.0,Olympics,1964-10-19,Tokyo
23,8,Mykhailo Storozhenko,26.0,Soviet Union,7307.0,5T,11.0,808,1T,7.22,866.0,1,16.37,874,8T,1.84,661,21,53.6,650.0,5T,15.0,821.0,8,43.2,730,12T,4.0,617.0,6,59.1,724.0,16,300.7,556.0,Olympics,1964-10-19,Tokyo
24,9,Russ Hodge,25.0,United States,7130.0,5T,11.0,808,12,6.75,755.0,3,14.93,785,13T,1.75,585,9,49.6,827.0,15,16.0,706.0,4,44.64,759,15T,3.7,535.0,15,50.21,592.0,5,264.9,778.0,Olympics,1964-10-19,Tokyo
25,10,Dick Emberger,26.0,United States,7126.0,12T,11.2,765,13,6.72,748.0,18,11.8,594,4T,1.9,714,4,49.1,850.0,3T,14.9,833.0,16,35.32,570,15T,3.7,535.0,9,57.54,701.0,1,259.3,816.0,Olympics,1964-10-19,Tokyo
26,11,Bill Gairdner,23.0,Canada,6989.0,12T,11.2,765,19,6.4,675.0,12,13.38,690,16T,1.7,544,5T,49.2,845.0,11,15.4,774.0,10,42.91,724,17,3.4,457.0,5,59.72,734.0,4,264.5,781.0,Olympics,1964-10-19,Tokyo
27,12,ValbjÃ¶rn ÃorlÃ¡ksson,30.0,Iceland,6957.999999999999,9T,11.1,786,18,6.43,682.0,14,13.1,673,10T,1.81,636,12,50.1,804.0,12,15.6,751.0,12,39.7,658,3T,4.4,731.0,11,56.19,681.0,15,300.6,556.0,Olympics,1964-10-19,Tokyo
28,13,Franco Sar,30.0,Italy,6888.0,16T,11.3,744,20,6.31,655.0,11,13.6,704,13T,1.75,585,19,52.2,710.0,2,14.8,845.0,1,47.46,818,7T,4.2,673.0,13,53.59,642.0,18,308.4,512.0,Olympics,1964-10-19,Tokyo
29,14,Alois BÃ¼chel,23.0,Liechtenstein,6629.0,16T,11.3,744,10,6.81,769.0,17,12.16,616,10T,1.81,636,10,49.7,822.0,20,17.5,549.0,15,37.19,608,12T,4.0,617.0,18,44.9,514.0,8,268.6,754.0,Olympics,1964-10-19,Tokyo
30,15,Shosuke Suzuki,27.0,Japan,6654.0,9T,11.1,786,15,6.53,704.0,19,11.35,567,16T,1.7,544,14,50.8,772.0,17,16.5,652.0,17,35.24,568,6,4.25,688.0,14,51.88,616.0,7,268.1,757.0,Olympics,1964-10-19,Tokyo
31,16,Gerry Moro,21.0,Canada,6540.0,20,11.6,683,21,6.2,630.0,15,12.62,644,16T,1.7,544,17T,52.0,719.0,19,16.8,620.0,11,40.9,683,1T,4.6,790.0,17,46.63,539.0,11,278.8,688.0,Olympics,1964-10-19,Tokyo
32,17,Koech Kiprop,,Kenya,6556.0,21T,11.7,663,17,6.5,697.0,22,10.55,519,6T,1.87,687,20,52.8,684.0,7,15.1,809.0,18,33.07,525,11,4.05,631.0,12,55.54,671.0,12,281.6,670.0,Olympics,1964-10-19,Tokyo
33,18,Dramane Sereme,22.0,Mali,5803.999999999999,9T,11.1,786,16,6.51,700.0,20,11.03,548,21,1.6,464,15,51.2,754.0,16,16.4,662.0,20,29.24,450,18,2.6,264.0,16,48.46,566.0,14,291.5,610.0,Olympics,1964-10-19,Tokyo
34,1,Dan O'Brien,30.0,United States,8824.0,2,10.5,975,9,7.57,952.0,5,15.66,830,4T,2.07,868,1,46.82,967.0,3,13.87,991.0,5,48.78,845,8T,5.0,910.0,3,66.9,842.0,27,285.89,644.0,Olympics,1996-07-31,Atlanta
35,2,Frank Busemann,21.0,Germany,8706.0,3,10.6,952,1,8.07,1079.0,26,13.6,704,10T,2.04,840,10,48.34,893.0,1,13.47,1044.0,13,45.04,768,15T,4.8,849.0,4,66.86,842.0,9,271.41,735.0,Olympics,1996-07-31,Atlanta
36,3,TomÃ¡Å¡ DvoÅÃ¡k,24.0,Czech Republic,8664.0,4,10.64,942,8,7.6,960.0,4,15.82,840,17T,1.98,785,9,48.29,895.0,2,13.79,1002.0,7,46.28,793,21T,4.7,819.0,1,70.16,892.0,8,271.25,736.0,Olympics,1996-07-31,Atlanta
37,4,Steve Fritz,28.0,United States,8644.0,19,10.9,883,4,7.77,1002.0,10,15.31,809,10T,2.04,840,26,50.13,809.0,5,13.97,978.0,1,49.84,867,6T,5.1,941.0,6,65.7,824.0,16,278.26,691.0,Olympics,1996-07-31,Atlanta
38,5,Eduard HÃ¤mÃ¤lÃ¤inen,27.0,Belarus,8613.0,12T,10.85,894,14,7.48,930.0,3,16.32,871,17T,1.98,785,2,46.91,963.0,4,13.95,981.0,2,49.62,862,8T,5.0,910.0,19,57.66,703.0,10,274.68,714.0,Olympics,1996-07-31,Atlanta
39,6,Erki Nool,26.0,Estonia,8543.0,5,10.65,940,2,7.88,1030.0,22,14.01,729,14T,2.01,813,4,47.26,945.0,30,15.03,846.0,23,42.98,725,1T,5.4,1035.0,7,65.48,821.0,25,283.36,659.0,Olympics,1996-07-31,Atlanta
40,7,Robert ZmÄlÃ­k,27.0,Czech Republic,8422.0,10,10.83,899,6,7.64,970.0,28,13.53,700,22T,1.95,758,23,49.55,835.0,8,14.17,953.0,18,43.44,735,1T,5.4,1035.0,2,67.2,847.0,17,278.45,690.0,Olympics,1996-07-31,Atlanta
41,8,Ramil Ganiyev,27.0,Uzbekistan,8318.0,11,10.84,897,7,7.61,962.0,13,14.71,772,2,2.13,925,21,49.14,855.0,27T,14.88,864.0,15,44.86,764,4T,5.2,972.0,27,53.7,644.0,23,282.72,663.0,Olympics,1996-07-31,Atlanta
42,9,Antonio PeÃ±alver,27.0,Spain,8307.0,21T,10.95,872,22,7.27,878.0,2,16.91,907,4T,2.07,868,27,50.41,796.0,11,14.35,930.0,4,48.92,848,21T,4.7,819.0,20,57.08,694.0,15,277.71,695.0,Olympics,1996-07-31,Atlanta
43,10,Chris Huffins,26.0,United States,8300.0,1,10.47,982,13,7.49,932.0,6T,15.57,825,10T,2.04,840,16,48.83,869.0,7,14.1,962.0,6,48.72,844,21T,4.7,819.0,13,60.62,747.0,31,314.36,480.0,Olympics,1996-07-31,Atlanta
44,11,Christian Plaziat,32.0,France,8282.0,12T,10.85,894,3,7.82,1014.9999999999999,11,14.85,780,10T,2.04,840,20,49.07,858.0,15T,14.52,908.0,11T,45.34,774,12T,4.9,880.0,29,52.18,621.0,11,275.0,712.0,Olympics,1996-07-31,Atlanta
45,12,JÃ³n Arnar MagnÃºsson,26.0,Iceland,8274.0,7,10.67,935,21,7.28,881.0,8,15.52,822,22T,1.95,758,3,47.17,950.0,9,14.22,946.0,17,43.78,742,15T,4.8,849.0,12,61.1,754.0,28,286.97,637.0,Olympics,1996-07-31,Atlanta
46,13,Mike Smith,28.0,Canada,8271.0,29,11.08,843,15,7.47,927.0,1,16.97,911,22T,1.95,758,34,51.97,726.0,22,14.78,876.0,3,49.54,861,8T,5.0,910.0,9,64.34,803.0,26,283.81,656.0,Olympics,1996-07-31,Atlanta
47,14,Frank MÃ¼ller,28.0,Germany,8253.0,21T,10.95,872,24,7.25,874.0,14,14.69,771,22T,1.95,758,19,49.05,859.0,26,14.86,867.0,8T,45.9,785,6T,5.1,941.0,5,66.1,830.0,14,277.5,696.0,Olympics,1996-07-31,Atlanta
48,15,Sebastian Chmara,24.0,Poland,8249.0,36,11.28,799,5,7.75,997.0,16,14.51,760,3,2.1,896,14,48.75,873.0,19,14.59,900.0,25,42.6,718,12T,4.9,880.0,24,54.84,661.0,5,266.96,765.0,Olympics,1996-07-31,Atlanta
49,16,Kamil DamaÅ¡ek,22.0,Czech Republic,8229.0,16,10.86,892,26T,7.22,866.0,9,15.51,821,14T,2.01,813,5,47.35,941.0,29,14.94,857.0,24,42.66,719,12T,4.9,880.0,22,55.84,675.0,4,266.86,765.0,Olympics,1996-07-31,Atlanta
50,17,SÃ©bastien Levicq,25.0,France,8192.0,32,11.17,823,29,7.16,852.0,21,14.05,731,31T,1.92,731,30,50.55,789.0,14,14.5,911.0,14,45.0,767,1T,5.4,1035.0,8,64.42,805.0,6,269.5,748.0,Olympics,1996-07-31,Atlanta
51,18,Marcel Dost,26.0,Netherlands,8111.000000000001,17,10.87,890,28,7.21,864.0,23T,13.91,723,22T,1.95,758,8,48.19,900.0,15T,14.52,908.0,27,41.92,704,4T,5.2,972.0,18,57.76,704.0,19,278.81,688.0,Olympics,1996-07-31,Atlanta
52,19,Francisco Benet,28.0,Spain,8107.000000000001,21T,10.95,872,19T,7.3,886.0,23T,13.91,723,17T,1.98,785,12,48.67,877.0,12,14.36,929.0,16,44.3,752,15T,4.8,849.0,15,59.44,729.0,13,276.04,705.0,Olympics,1996-07-31,Atlanta
53,20,Dirk-Achim Pajonk,27.0,Germany,8045.0,6,10.67,935,12,7.5,935.0,17,14.46,757,22T,1.95,758,15,48.81,870.0,23T,14.79,875.0,26,41.94,704,29,4.5,760.0,26,54.16,650.0,2,261.62,801.0,Olympics,1996-07-31,Atlanta
54,21,Jack Rosendaal,22.0,Netherlands,8035.0,34,11.24,808,17T,7.33,893.0,27,13.59,703,4T,2.07,868,32,50.93,772.0,13,14.46,916.0,29,41.24,690,21T,4.7,819.0,10,63.8,795.0,3,265.98,771.0,Olympics,1996-07-31,Atlanta
55,22,Vitaliy Kolpakov,24.0,Ukraine,8025.0,31,11.15,827,10T,7.53,942.0,18,14.33,749,4T,2.07,868,7,48.12,903.0,10,14.3,936.0,10,45.66,780,15T,4.8,849.0,28,53.58,642.0,30,305.41,529.0,Olympics,1996-07-31,Atlanta
56,23,Rojs Piziks,25.0,Latvia,7994.0,38T,11.4,774,33,6.86,781.0,15,14.6,765,1,2.16,953,33,51.48,748.0,32,15.2,825.0,8T,45.9,785,8T,5.0,910.0,16,58.4,714.0,7,270.88,739.0,Olympics,1996-07-31,Atlanta
57,24,Doug Pirini,26.0,New Zealand,7961.0,18,10.89,885,17T,7.33,893.0,12,14.75,774,33T,1.89,705,11,48.56,882.0,27T,14.88,864.0,11T,45.34,774,26T,4.6,790.0,17,58.02,708.0,21,279.09000000000003,686.0,Olympics,1996-07-31,Atlanta
58,25,Eugenio BalanquÃ©,27.0,Cuba,7872.999999999999,8,10.71,926,37,6.36,666.0,20,14.11,735,33T,1.89,705,6,47.46,935.0,6,14.07,965.0,28,41.64,698,21T,4.7,819.0,14,59.92,737.0,20,278.97,687.0,Olympics,1996-07-31,Atlanta
59,26,RaÃºl Duany,21.0,Cuba,7802.000000000001,33,11.2,817,19T,7.3,886.0,25,13.78,715,4T,2.07,868,29,50.5,792.0,25,14.84,869.0,32,38.56,635,30,4.4,731.0,11,62.86,781.0,12,275.59000000000003,708.0,Olympics,1996-07-31,Atlanta
60,27,Zsolt KÃ¼rtÃ¶si,25.0,Hungary,7755.0,30,11.09,841,31,7.05,826.0,19,14.29,746,14T,2.01,813,28,50.43,795.0,20,14.64,894.0,21,43.22,730,26T,4.6,790.0,25,54.8,660.0,24,283.21,660.0,Olympics,1996-07-31,Atlanta
61,28,Philipp Huber,22.0,Switzerland,7742.999999999999,26T,11.06,847,30,7.15,850.0,31,13.34,688,35,1.86,679,13,48.72,875.0,31,15.08,840.0,20,43.32,732,26T,4.6,790.0,30,51.96,618.0,1,258.15,824.0,Olympics,1996-07-31,Atlanta
62,29,Alper KasapoÄlu,30.0,Turkey,7575.0,28,11.07,845,26T,7.22,866.0,33,12.89,661,31T,1.92,731,24,49.61,833.0,18,14.55,905.0,30,40.64,678,15T,4.8,849.0,31,45.24,518.0,18,278.69,689.0,Olympics,1996-07-31,Atlanta
63,30,Beniamino Poserina,25.0,Italy,7013.0,25,11.05,850,32,6.98,809.0,AC,,0,17T,1.98,785,22,49.52,837.0,21,14.68,889.0,19,43.42,734,15T,4.8,849.0,21,56.78,690.0,29,298.28,570.0,Olympics,1996-07-31,Atlanta
64,31,Nikolay Afanasyev,30.0,Russia,6711.0,40,11.44,765,34,6.74,753.0,30,13.38,690,17T,1.98,785,31,50.83,777.0,23T,14.79,875.0,22,43.08,727,AC,,0.0,23,55.12,665.0,22,281.0,674.0,Olympics,1996-07-31,Atlanta
65,1,Bill Toomey,29.0,United States,8144.0,1,10.41,996,1,7.87,1027.0000000000002,18,13.75,713,6T,1.95,758,1,45.68,1025.0,8T,14.95,856.0,9,43.68,740,9T,4.2,673.0,5,62.8,780.0,6,297.1,424.0,Olympics,1968-10-08,Mexico City
66,2,Hans-Joachim Walde,26.0,West Germany,8093.999999999999,9T,10.97,867,2T,7.64,970.0,5,15.13,798,3T,2.01,813,3,49.03,860.0,7,14.87,865.0,10,43.54,737,6T,4.3,702.0,2,71.62,914.0,7,298.5,416.0,Olympics,1968-10-08,Mexico City
67,3,Kurt Bendlin,25.0,West Germany,8071.0,4T,10.75,917,5,7.56,950.0,8,14.74,774,17T,1.8,627,2,48.38,891.0,12T,15.06,842.0,4,46.78,804,3,4.6,790.0,1,75.42,972.0,11,309.8,356.0,Olympics,1968-10-08,Mexico City
68,4,Mykola Avilov,20.0,Soviet Union,7862.0,9T,10.95,872,2T,7.64,970.0,21,13.41,692,2,2.07,868,7T,49.93,818.0,1T,14.58,901.0,5,46.64,801,13T,4.1,645.0,6,60.12,740.0,8,300.8,404.0,Olympics,1968-10-08,Mexico City
69,5,Joachim Kirst,21.0,East Germany,7760.0,2T,10.58,956,4,7.61,962.0,1,16.43,878,5,1.98,785,10T,50.25,803.0,20,15.68,769.0,3,46.89,806,12,4.15,659.0,10,57.02,693.0,17,320.1,305.0,Olympics,1968-10-08,Mexico City
70,6,Tom Waddell,30.0,United States,7675.0,28T,11.33,789,6,7.47,927.0,9,14.45,756,3T,2.01,813,19,51.25,758.0,15T,15.39,803.0,8,43.73,741,4,4.5,760.0,3,63.7,794.0,9,304.5,384.0,Olympics,1968-10-08,Mexico City
71,7,Rick Sloan,21.0,United States,7617.999999999999,23T,11.28,799,25,6.72,748.0,13,14.07,733,1,2.1,896,18,51.05,767.0,17T,15.51,789.0,7,45.58,779,1T,4.85,865.0,15,49.9,587.0,3,284.0,500.0,Olympics,1968-10-08,Mexico City
72,8,Steen Smidt-Jensen,23.0,Denmark,7564.0,9T,11.0,861,14,7.17,854.0,23,13.03,669,6T,1.95,758,10T,50.22,804.0,8T,14.96,854.0,14,41.07,686,1T,4.85,865.0,19,46.8,541.0,2,281.3,517.0,Olympics,1968-10-08,Mexico City
73,9,Ed de Noorlander,23.0,Netherlands,7443.0,18T,11.19,819,20,6.9,790.0,17,13.89,722,6T,1.95,758,14T,50.57,789.0,1T,14.53,907.0,13,41.7,699,9T,4.2,673.0,14,50.22,592.0,1,277.8,539.0,Olympics,1968-10-08,Mexico City
74,10,Manfred Tiedtke,26.0,East Germany,7450.0,9T,10.96,870,7,7.46,925.0,2,15.77,837,6T,1.95,758,9,50.01,814.0,3T,14.8,874.0,17,40.31,671,6T,4.3,702.0,13,51.84,616.0,18,333.4,244.0,Olympics,1968-10-08,Mexico City
75,11,Lennart Hedmark,24.0,Sweden,7396.0,18T,11.18,821,13,7.29,883.0,12,14.08,733,12T,1.89,705,20,51.36,753.0,8T,14.99,851.0,11,42.96,725,13T,4.1,645.0,4,62.9,782.0,12,311.0,350.0,Olympics,1968-10-08,Mexico City
76,12,Walter DieÃl,25.0,Austria,7358.0,4T,10.8,906,8,7.42,915.0,11,14.32,748,15T,1.83,653,22,51.67,739.0,3T,14.77,878.0,12,42.23,710,8,4.25,688.0,12,55.38,669.0,16,319.7,307.0,Olympics,1968-10-08,Mexico City
77,13,Clive Longe,29.0,Great Britain,7240.0,9T,10.96,870,21,6.86,781.0,6,15.1,796,22T,1.7,544,5,49.37,844.0,17T,15.55,784.0,2,47.6,821,16,4.0,617.0,9,59.3,727.0,15,318.8,312.0,Olympics,1968-10-08,Mexico City
78,14,JÄnis Lanka,28.0,Soviet Union,7011.0,9T,10.95,872,15,7.15,850.0,3,15.31,809,17T,1.8,627,7T,49.92,818.0,5T,14.82,871.0,1,49.9,868,18,3.8,562.0,8,59.76,734.0,AC,,,Olympics,1968-10-08,Mexico City
79,15,Wu Ah-Min,30.0,Chinese Taipei,7154.0,28T,11.32,791,9T,7.4,910.0,27,12.08,611,17T,1.8,627,23,52.31,711.0,5T,14.82,871.0,18,40.25,670,5,4.35,716.0,7,60.1,739.0,10,308.9,361.0,Olympics,1968-10-08,Mexico City
80,16,Spas Dzhurov,23.0,Bulgaria,7056.0,9T,10.95,872,9T,7.4,910.0,15,13.99,728,12T,1.89,705,10T,50.28,802.0,14,15.17,829.0,15,40.9,683,19,3.6,509.0,18,47.04,545.0,14,315.5,328.0,Olympics,1968-10-08,Mexico City
81,17,Roger Lespagnard,21.0,Belgium,7005.0,18T,11.12,834,18,6.94,799.0,24T,12.59,642,6T,1.95,758,10T,50.29,801.0,22,15.84,751.0,21,37.74,619,9T,4.2,673.0,17,47.46,551.0,5,297.0,425.0,Olympics,1968-10-08,Mexico City
82,18,Urs Trautmann,28.0,Switzerland,6922.999999999999,23T,11.26,804,17,6.96,804.0,4,15.16,800,6T,1.95,758,27,63.48,302.0,8T,14.99,851.0,6,46.2,792,13T,4.1,645.0,11,56.32,683.0,13,313.6,337.0,Olympics,1968-10-08,Mexico City
83,19,Franz Biedermann,22.0,Liechtenstein,6220.0,30T,11.56,740,29,6.3,652.0,29,10.94,542,22T,1.7,544,21,51.45,749.0,17T,15.59,780.0,23,30.67,478,17,3.9,590.0,20,44.92,514.0,4,287.9,476.0,Olympics,1968-10-08,Mexico City
84,20,Don VÃ©lez,20.0,Nicaragua,5822.999999999999,30T,11.54,744,26,6.63,727.0,30,10.6,522,28T,1.65,504,24,53.16,675.0,23,16.24,706.0,22,36.43,592,20,3.4,457.0,16,48.94,573.0,19,346.1,190.0,Olympics,1968-10-08,Mexico City
