,Rank,Athlete,Age,Team,Total Points,100-metres Rank,100-metres,100-metres PTS,long-jump Rank,long-jump,long-jump PTS,shot-put Rank,shot-put,shot-put PTS,high-jump Rank,high-jump,high-jump PTS,400-metres Rank,400-metres,400-metres PTS,110-metre-hurdles Rank,110-metre-hurdles,110-metre-hurdles PTS,discus-throw Rank,discus-throw,discus-throw PTS,pole-vault Rank,pole-vault,pole-vault PTS,javelin-throw Rank,javelin-throw,javelin-throw PTS,1500-metres Rank,1500-metres,1500-metres PTS,Competition,Date,Location
258,21,Daniel Awde,20.0,Great Britain,7516.0,17,11.06,847,18,7.12,842.0,36,12.03,608,36,1.78,610,1,47.16,950.0,20,14.69,887.0,28,37.12,606,7,4.9,880.0,19,53.18,636.0,15,284.8,650.0,Olympics,2008-08-21,Beijing
259,22,Hadi Sepehrzad,25.0,Iran,7483.0,11,10.92,878,32,6.8,767.0,4,16.02,852,28T,1.9,714,25,50.75,780.0,19,14.64,894.0,3,50.32,877,22T,4.0,617.0,23,49.56,582.0,24,306.67,522.0,Olympics,2008-08-21,Beijing
260,23,Damjan Sitar,26.0,Slovenia,7336.0,27T,11.21,814,14,7.25,874.0,35,12.41,631,6T,2.05,850,21,50.1,810.0,24,15.03,846.0,27,39.25,649,22T,4.0,617.0,24,47.23,548.0,9,277.37,697.0,Olympics,2008-08-21,Beijing
261,24,Slaven DizdareviÄ,27.0,Slovakia,7021.0,24,11.16,825,25,7.02,818.0,23,13.97,727,18T,1.96,767,31,52.02,724.0,28,15.61,777.0,25,39.86,662,22T,4.0,617.0,26,43.58,494.0,20,291.42,610.0,Olympics,2008-08-21,Beijing
262,25,David GÃ³mez,27.0,Spain,6876.0,19T,11.12,834,31,6.85,778.0,27,13.58,703,34T,1.81,636,13,49.27,849.0,18,14.61,897.0,24,40.17,668,AC,,0.0,13,62.22,771.0,6,270.74,740.0,Olympics,2008-08-21,Beijing
263,26,Mikko Halvari,25.0,Finland,6486.0,25,11.18,821,29,6.88,785.0,25,13.72,711,23T,1.93,740,22,50.6,787.0,29,16.25,705.0,7,47.71,823,AC,,0.0,18,55.11,665.0,26,320.26,449.0,Olympics,2008-08-21,Beijing
264,1,Ashton Eaton,24.0,United States,8869.0,1,10.35,1011,1,8.03,1068.0,11,14.66,769,2T,2.05,850,1,46.9,963.0,2,13.56,1032.0,22,42.53,716,3,5.2,972.0,9,61.96,767.0,7,273.59000000000003,721.0,Olympics,2012-08-08,London
265,2,Trey Hardee,28.0,United States,8671.0,2,10.42,994,6,7.53,942.0,5,15.28,807,10T,1.99,794,3,48.11,904.0,1,13.54,1035.0,3,48.26,834,8T,4.8,849.0,3,66.65,838.0,18,280.94,674.0,Olympics,2012-08-08,London
266,3,Leonel SuÃ¡rez,24.0,Cuba,8523.0,26,11.27,801,8,7.52,940.0,12,14.5,759,1,2.11,906,14,49.04,859.0,15,14.45,917.0,11,45.75,782,10T,4.7,819.0,1,76.94,996.0,5,270.08,744.0,Olympics,2012-08-08,London
267,4,Hans Van Alphen,30.0,Belgium,8447.0,19,11.05,850,2,7.64,970.0,3,15.48,819,2T,2.05,850,15,49.18,853.0,20,14.89,863.0,2,48.28,835,8T,4.8,849.0,10,61.69,763.0,1,262.5,795.0,Olympics,2012-08-08,London
268,5,Damian Warner,22.0,Canada,8442.0,3,10.48,980,5,7.54,945.0,24,13.73,712,2T,2.05,850,4,48.2,899.0,11,14.38,926.0,10,45.9,785,10T,4.7,819.0,7,62.77,780.0,4,269.85,746.0,Olympics,2012-08-08,London
269,6,Rico Freimuth,24.0,Germany,8320.0,5,10.65,940,14T,7.21,864.0,9,14.87,782,27T,1.9,714,2,48.06,906.0,3,13.89,989.0,1,49.11,852,6T,4.9,880.0,16,57.37,698.0,12,277.62,695.0,Olympics,2012-08-08,London
270,7,Oleksiy Kasianov,26.0,Ukraine,8283.0,4,10.56,961,4,7.55,947.0,15,14.45,756,10T,1.99,794,7,48.44,888.0,4,14.09,963.0,5,46.72,802,15T,4.6,790.0,21,54.87,661.0,8,273.68,721.0,Olympics,2012-08-08,London
271,8,Sergey Sviridov,21.0,Russia,8219.0,9,10.78,910,9,7.45,922.0,16,14.42,754,10T,1.99,794,13,48.91,866.0,25,15.42,799.0,4,47.43,817,15T,4.6,790.0,2,68.42,865.0,10,276.63,702.0,Olympics,2012-08-08,London
272,9,Willem Coertzen,29.0,South Africa,8173.0,21,11.09,841,16T,7.17,854.0,21,13.79,715,2T,2.05,850,8,48.56,882.0,6T,14.15,955.0,19,43.58,738,20T,4.5,760.0,6,64.79,810.0,3,266.52,768.0,Olympics,2012-08-08,London
273,10,Pascal Behrenbruch,27.0,Germany,8126.0,20,11.06,847,19,7.15,850.0,2,15.67,831,16T,1.96,767,20,50.04,813.0,10,14.33,932.0,17,44.71,761,10T,4.7,819.0,5,64.8,810.0,11,277.46,696.0,Olympics,2012-08-08,London
274,11,Eelco Sintnicolaas,25.0,Netherlands,8034.0,11,10.85,894,10,7.37,903.0,17,14.18,739,21T,1.93,740,12,48.85,868.0,14,14.43,920.0,27,32.26,509,2,5.3,1004.0,15,58.82,720.0,6,271.17,737.0,Olympics,2012-08-08,London
275,12,Brent Newdick,27.0,New Zealand,7988.0,22,11.1,838,11,7.36,900.0,7,15.09,795,16T,1.96,767,23,50.22,804.0,22,15.02,847.0,8,46.15,791,10T,4.7,819.0,13,59.82,735.0,15,278.2,692.0,Olympics,2012-08-08,London
276,13,Gonzalo Barroilhet,25.0,Chile,7972.0,25,11.18,821,28,6.8,767.0,13,14.49,758,2T,2.05,850,27,51.07,766.0,5,14.12,959.0,25,41.27,690,1,5.4,1035.0,18,57.25,697.0,20,288.23,629.0,Olympics,2012-08-08,London
277,14,Yordanis GarcÃ­a,23.0,Cuba,7956.0,10,10.8,906,29,6.75,755.0,14,14.48,758,10T,1.99,794,10T,48.76,873.0,9,14.24,944.0,23,42.27,711,15T,4.6,790.0,12,59.85,736.0,16,278.57,689.0,Olympics,2012-08-08,London
278,15,KÃ©vin Mayer,20.0,France,7952.0,27T,11.32,791,16T,7.17,854.0,19,14.05,731,2T,2.05,850,10T,48.76,873.0,27,15.59,780.0,26,41.2,689,10T,4.7,819.0,8,62.41,774.0,2,263.02,791.0,Olympics,2012-08-08,London
279,16,Ilya Shkurenyov,21.0,Russia,7948.0,18,11.01,858,13,7.25,874.0,29,12.89,661,9,2.02,822,17,49.81,823.0,12,14.39,925.0,21,43.51,736,4T,5.1,941.0,22,53.81,645.0,19,282.8,663.0,Olympics,2012-08-08,London
280,17,Eduard Mikhan,23.0,Belarus,7928.0,8,10.74,919,24,6.94,799.0,10,14.75,774,21T,1.93,740,6,48.42,889.0,6T,14.15,955.0,18,44.42,755,23T,4.4,731.0,20,55.69,673.0,13,278.06,693.0,Olympics,2012-08-08,London
281,18,Dmitry Karpov,31.0,Kazakhstan,7926.0,14,10.91,881,14T,7.21,864.0,1,16.47,880,10T,1.99,794,18,49.83,822.0,13,14.4,924.0,15,44.93,765,4T,5.1,941.0,26,49.93,588.0,26,316.83,467.0,Olympics,2012-08-08,London
282,19,Luiz Alberto AraÃºjo,25.0,Brazil,7849.0,6,10.7,929,18,7.16,852.0,26,13.52,699,21T,1.93,740,5,48.25,897.0,18,14.79,875.0,16,44.76,762,15T,4.6,790.0,23,51.59,612.0,14,278.04,693.0,Olympics,2012-08-08,London
283,20,Keisuke Ushiro,26.0,Japan,7842.0,27T,11.32,791,26,6.86,781.0,25,13.59,703,10T,1.99,794,25,50.78,779.0,26,15.47,794.0,6,46.66,801,6T,4.9,880.0,4,66.38,834.0,17,279.33,685.0,Olympics,2012-08-08,London
284,21,Ingmar Vos,26.0,Netherlands,7805.0,16,10.98,865,12,7.27,878.0,22,13.77,714,16T,1.96,767,16,49.62,832.0,16,14.61,897.0,24,42.26,711,20T,4.5,760.0,11,61.6,762.0,21,290.01,619.0,Olympics,2012-08-08,London
285,22,Edgars EriÅÅ¡,26.0,Latvia,7649.0,17,10.99,863,22,6.98,809.0,27,13.45,695,21T,1.93,740,24,50.62,786.0,24,15.22,823.0,14,45.1,769,20T,4.5,760.0,17,57.35,698.0,9,275.88,706.0,Olympics,2012-08-08,London
286,23,Jangy Addy,27.0,Liberia,7586.0,12,10.89,885,25,6.9,790.0,8,14.97,788,21T,1.93,740,9,48.64,878.0,8,14.23,945.0,12,45.61,779,26T,4.2,673.0,24,50.36,594.0,24,308.14,514.0,Olympics,2012-08-08,London
287,24,Attila SzabÃ³,28.0,Hungary,7581.0,24,11.15,827,23,6.96,804.0,20,13.93,724,27T,1.9,714,26,50.83,777.0,21,14.92,859.0,13,45.14,770,15T,4.6,790.0,14,58.84,720.0,22,293.81,596.0,Olympics,2012-08-08,London
288,25,Darius Draudvila,29.0,Lithuania,7557.0,15,10.95,872,20,7.12,842.0,6,15.17,800,16T,1.96,767,21,50.13,809.0,19,14.87,865.0,7,46.43,796,26T,4.2,673.0,25,50.16,591.0,23,303.14,542.0,Olympics,2012-08-08,London
289,26,Rifat Artikov,29.0,Uzbekistan,7203.0,29,11.37,780,30,6.41,677.0,18,14.11,735,21T,1.93,740,28,51.91,729.0,17,14.74,881.0,20,43.53,737,23T,4.4,731.0,19,56.62,687.0,25,309.52,506.0,Olympics,2012-08-08,London
290,1,Ashton Eaton,28.0,United States,8893.0,2,10.46,985,1,7.94,1045.0,10,14.73,773,14T,2.01,813,1,46.07,1005.0,2,13.8,1000.0,8,45.49,777,3T,5.2,972.0,18,59.77,734.0,4,263.33,789.0,Olympics,2016-08-17,Rio de Janeiro
291,2,KÃ©vin Mayer,24.0,France,8834.0,9T,10.81,903,5,7.6,960.0,1,15.76,836,10T,2.04,840,8,48.28,896.0,3,14.02,972.0,6,46.78,804,1T,5.4,1035.0,6,65.04,814.0,6,265.49,774.0,Olympics,2016-08-17,Rio de Janeiro
292,3,Damian Warner,26.0,Canada,8666.0,1,10.3,1023,3,7.67,977.0,23,13.66,708,10T,2.04,840,3,47.35,941.0,1,13.58,1029.0,11,44.93,765,15T,4.7,819.0,11,63.19,786.0,5,264.9,778.0,Olympics,2016-08-17,Rio de Janeiro
293,4,Kai Kazmirek,25.0,Germany,8580.0,7T,10.78,910,2,7.69,982.0,15,14.2,741,5T,2.1,896,2,46.75,971.0,15,14.62,896.0,17,43.25,731,8T,5.0,910.0,8,64.6,807.0,9,271.25,736.0,Olympics,2016-08-17,Rio de Janeiro
294,5,Larbi Bourrada,28.0,Algeria,8521.0,5,10.75,917,8,7.52,940.0,21,13.78,715,6,2.1,896,4,47.98,910.0,5,14.15,955.0,19,42.39,713,18T,4.6,790.0,5,66.49,836.0,1,254.6,849.0,Olympics,2016-08-17,Rio de Janeiro
295,6,Leonel SuÃ¡rez,28.0,Cuba,8460.0,28,11.21,814,19T,7.14,847.0,13,14.27,745,8T,2.07,868,5,48.15,902.0,12,14.48,913.0,5,47.07,810,10T,4.9,880.0,1,72.32,925.0,7,268.32,756.0,Olympics,2016-08-17,Rio de Janeiro
296,7,Zach Ziemek,23.0,United States,8392.0,3,10.71,926,9,7.49,932.0,25,13.44,694,5T,2.1,896,21,49.83,822.0,17,14.77,878.0,3,49.42,858,3T,5.2,972.0,15,60.92,752.0,18,282.97,662.0,Olympics,2016-08-17,Rio de Janeiro
297,8,Thomas Van der Plaetsen,25.0,Belgium,8332.0,29,11.24,808,4,7.66,975.0,28,12.84,657,2,2.16,953,19,49.63,832.0,22,15.01,848.0,15,43.58,738,1T,5.4,1035.0,12,62.09,769.0,13,274.21,717.0,Olympics,2016-08-17,Rio de Janeiro
298,9,Kurt Felix,28.0,Grenada,8323.0,19,10.93,876,13,7.42,915.0,9,14.77,776,8T,2.07,868,15,49.14,855.0,18,14.79,875.0,9T,45.1,769,20T,4.5,760.0,2,69.92,888.0,8,270.53,741.0,Olympics,2016-08-17,Rio de Janeiro
299,10,Luiz Alberto AraÃºjo,29.0,Brazil,8315.0,6,10.77,912,10,7.48,930.0,3,15.26,806,25T,1.92,731,6,48.14,902.0,6,14.17,953.0,9T,45.1,769,10T,4.9,880.0,19,57.28,697.0,10,271.46,735.0,Olympics,2016-08-17,Rio de Janeiro
300,11,Jeremy Taiwo,26.0,United States,8300.0,20,11.01,858,12,7.45,922.0,6,14.92,785,1,2.19,982,12,48.78,872.0,13T,14.57,902.0,22,39.91,663,8T,5.0,910.0,23,51.29,608.0,3,261.96,798.0,Olympics,2016-08-17,Rio de Janeiro
301,12,Adam Helcelet,24.0,Czech Republic,8291.0,23,11.06,847,14,7.35,898.0,4,15.11,796,10T,2.04,840,18,49.51,837.0,10,14.37,927.0,14,44.13,749,15T,4.7,819.0,3,68.2,862.0,14,274.41,716.0,Olympics,2016-08-17,Rio de Janeiro
302,13,Bastien Auzeil,26.0,France,8064.0,27,11.17,823,23,7.07,830.0,2,15.41,815,19T,1.98,785,17,49.34,845.0,19,14.82,871.0,20,42.23,710,6T,5.1,941.0,13,61.91,767.0,16,280.5,677.0,Olympics,2016-08-17,Rio de Janeiro
303,14,Cedric Dubler,21.0,Australia,8024.0,15,10.86,892,11,7.47,927.0,30,11.49,575,3T,2.13,925,7,48.18,900.0,8,14.3,936.0,23,38.89,642,10T,4.9,880.0,22,51.82,616.0,11,272.12,731.0,Olympics,2016-08-17,Rio de Janeiro
304,15,Arthur Abele,30.0,Germany,8013.0,16T,10.87,890,27,6.97,807.0,5,15.03,792,19T,1.98,785,14,49.02,860.0,4,14.12,959.0,12,44.66,760,20T,4.5,760.0,9,64.13,800.0,24,293.07,600.0,Olympics,2016-08-17,Rio de Janeiro
305,16,Lindon Victor,23.0,Grenada,7998.0,12T,10.83,899,22,7.11,840.0,8,14.8,777,19T,1.98,785,20,49.8,824.0,26,15.74,762.0,1,53.24,938,25,4.4,731.0,10,63.54,791.0,19,284.73,651.0,Olympics,2016-08-17,Rio de Janeiro
306,17,Pau Tonnesen,23.0,Spain,7982.0,32,11.32,791,15T,7.33,893.0,22,13.69,709,14T,2.01,813,26,50.81,778.0,21,14.99,851.0,7,46.31,794,3T,5.2,972.0,17,60.15,740.0,21,286.27,641.0,Olympics,2016-08-17,Rio de Janeiro
307,18,Yordanis GarcÃ­a,27.0,Cuba,7961.0,9T,10.81,903,28T,6.83,774.0,11,14.58,764,14T,2.01,813,11,48.69,876.0,7,14.25,942.0,21,40.34,671,20T,4.5,760.0,7,64.7,809.0,20,284.99,649.0,Olympics,2016-08-17,Rio de Janeiro
308,19,Dominik Distelberger,26.0,Austria,7954.0,14,10.84,897,15T,7.33,893.0,26,13.4,692,27,1.89,705,10,48.61,880.0,11,14.39,925.0,24,38.09,626,14,4.8,849.0,14,61.83,765.0,12,273.47,722.0,Olympics,2016-08-17,Rio de Janeiro
309,20,Keisuke Ushiro,30.0,Japan,7952.0,31,11.3,795,28T,6.83,774.0,17,14.14,737,19T,1.98,785,25,50.43,795.0,24T,15.09,839.0,2,49.9,868,10T,4.9,880.0,4,66.63,838.0,22,286.33,641.0,Olympics,2016-08-17,Rio de Janeiro
310,21,PaweÅ WiesioÅek,24.0,Poland,7784.0,18,10.88,888,30,6.73,750.0,16,14.17,739,14T,2.01,813,23,50.18,806.0,24T,15.09,839.0,4,48.32,835,20T,4.5,760.0,21,56.68,688.0,17,282.27,666.0,Olympics,2016-08-17,Rio de Janeiro
311,22,Akihiko Nakamura,25.0,Japan,7612.0,22,11.04,852,21,7.13,845.0,29,12.0,606,25T,1.92,731,13,48.93,865.0,13T,14.57,902.0,26,34.91,562,15T,4.7,819.0,24,51.24,607.0,2,258.37,823.0,Olympics,2016-08-17,Rio de Janeiro
312,23,Karl Robert Saluri,22.0,Estonia,7223.0,11,10.82,901,24,7.02,818.0,20,13.88,721,28,1.77,602,24,50.32,800.0,27,16.51,676.0,18,42.96,725,20T,4.5,760.0,25,46.42,536.0,15,279.4,684.0,Olympics,2016-08-17,Rio de Janeiro
313,24,Maicel Uibo,23.0,Estonia,7170.0,26,11.16,825,19T,7.14,847.0,AC,,0,3T,2.13,925,27,51.08,765.0,20,14.84,869.0,25,37.69,618,6T,5.1,941.0,16,60.52,746.0,23,287.49,634.0,Olympics,2016-08-17,Rio de Janeiro
314,26,JiÅÃ­ SÃ½kora,21.0,Czech Republic,6237.0,25,11.15,827,25,7.0,814.0,24,13.45,695,19T,1.98,785,22,49.88,820.0,23,15.02,847.0,13,44.49,756,AC,,0.0,20,56.99,693.0,AC,,0.0,Olympics,2016-08-17,Rio de Janeiro
315,1,Roman Å ebrle,29.0,Czech Republic,8892.999999999996,11T,10.85,894,2,7.84,1020.0,1,16.36,873,4,2.12,915,4,48.36,892.0,5,14.05,968.0,4,48.72,844,7,5.0,910.0,1,70.52,897.0,23,280.01,680.0,Olympics,2004-08-23,Athens
316,2,Bryan Clay,24.0,United States,8820.0,1,10.44,989,1,7.96,1050.0,7T,15.23,804,6,2.06,859,15,49.19,852.0,6T,14.13,958.0,2,50.11,873,9,4.9,880.0,2,69.71,885.0,24,281.65,670.0,Olympics,2004-08-23,Athens
317,3,Dmitry Karpov,23.0,Kazakhstan,8725.0,2,10.5,975,3,7.81,1012.0,3,15.93,847,5,2.09,887,1,46.81,968.0,1,13.97,978.0,1,51.65,905,19T,4.6,790.0,21,55.54,671.0,20,278.11,692.0,Olympics,2004-08-23,Athens
318,4,Dean Macey,26.0,Great Britain,8414.0,15T,10.89,885,9,7.47,927.0,4,15.73,835,1,2.15,944,10,48.97,863.0,18,14.56,903.0,6,48.34,836,26,4.4,731.0,17,58.46,715.0,5,265.42,775.0,Olympics,2004-08-23,Athens
319,5,Chiel Warners,26.0,Netherlands,8343.0,4,10.62,947,4,7.74,995.0,20,14.48,758,16,1.97,776,2T,47.97,911.0,2T,14.01,973.0,17,43.73,741,8,4.9,880.0,22,55.39,669.0,19,278.05,693.0,Olympics,2004-08-23,Athens
320,6,Attila ZsivÃ³czky,27.0,Hungary,8287.0,18,10.91,881,21,7.14,847.0,6,15.31,809,2,2.12,915,19T,49.4,842.0,23,14.95,856.0,9T,45.62,780,16,4.7,819.0,6,63.45,790.0,7,269.54,748.0,Olympics,2004-08-23,Athens
321,7,Laurent Hernu,27.0,France,8237.0,22,10.97,867,20,7.19,859.0,18,14.65,768,10T,2.03,831,7T,48.73,874.0,11T,14.25,942.0,14,44.72,761,11,4.8,849.0,19,57.76,704.0,4,264.35,782.0,Olympics,2004-08-23,Athens
322,8,Erki Nool,34.0,Estonia,8235.0,9T,10.8,906,5,7.53,942.0,24,14.26,744,28T,1.88,696,9,48.81,870.0,21,14.8,874.0,22,42.05,706,1,5.4,1035.0,8,61.33,758.0,17,276.33,704.0,Olympics,2004-08-23,Athens
323,9,Claston Bernard,25.0,Jamaica,8225.0,6,10.69,931,8,7.48,930.0,16,14.8,777,3,2.12,915,14,49.13,855.0,8,14.17,953.0,13,44.75,762,29,4.4,731.0,23,55.27,667.0,16,276.31,704.0,Olympics,2004-08-23,Athens
324,10,Roland Schwarzl,23.0,Austria,8102.0,23,10.98,865,7,7.49,932.0,25,14.01,729,20,1.94,749,24,49.76,826.0,11T,14.25,942.0,21,42.43,714,3,5.1,941.0,20,56.32,683.0,13,273.56,721.0,Olympics,2004-08-23,Athens
325,11,Aleksandr Pogorelov,24.0,Russia,8084.0,21,10.95,872,15,7.31,888.0,10,15.1,796,7,2.06,859,27,50.79,779.0,10,14.21,948.0,15,44.6,759,5T,5.0,910.0,26,53.45,640.0,26,287.63,633.0,Olympics,2004-08-23,Athens
326,12,Florian SchÃ¶nbeck,30.0,Germany,8077.0,17,10.9,883,16,7.3,886.0,17,14.77,776,30,1.88,696,25,50.3,801.0,14,14.34,931.0,16,44.41,755,5T,5.0,910.0,9,60.89,751.0,22,278.82,688.0,Olympics,2004-08-23,Athens
327,13,Romain Barras,24.0,France,8067.0,32T,11.14,830,28T,6.99,811.0,14,14.91,784,17T,1.94,749,19T,49.41,842.0,15,14.37,927.0,12,44.83,763,19T,4.6,790.0,4,64.55,807.0,6,267.09,764.0,Olympics,2004-08-23,Athens
328,14,Maurice Smith,23.0,Jamaica,8023.0,11T,10.85,894,34,6.81,769.0,7T,15.24,804,25,1.91,723,16,49.27,849.0,2T,14.01,973.0,3,49.02,850,30,4.2,673.0,7,61.52,761.0,12,272.74,727.0,Olympics,2004-08-23,Athens
329,15,Nikolay Averyanov,24.0,Russia,8021.000000000001,3,10.55,963,13T,7.34,896.0,22,14.44,755,22T,1.94,749,23,49.72,828.0,16,14.39,925.0,31,39.88,662,13T,4.8,849.0,24,54.51,656.0,9,271.02,738.0,Olympics,2004-08-23,Athens
330,16,Jaakko Ojaniemi,23.0,Finland,8006.0,5,10.68,933,6,7.5,935.0,11T,14.97,788,22T,1.94,749,12T,49.12,856.0,26,15.01,848.0,27,40.35,672,21,4.6,790.0,15,59.26,727.0,15,275.71,708.0,Olympics,2004-08-23,Athens
331,17,Vitaly Smirnov,25.0,Uzbekistan,7992.999999999997,15T,10.89,885,23T,7.07,830.0,26,13.88,721,17T,1.94,749,12T,49.11,856.0,19,14.77,878.0,20,42.47,715,18,4.7,819.0,10,60.88,751.0,2,263.31,789.0,Olympics,2004-08-23,Athens
332,18,Qi Haifeng,21.0,China,7934.0,28,11.06,847,13T,7.34,896.0,29,13.55,701,14T,1.97,776,22,49.65,831.0,20,14.78,876.0,11,45.13,770,22T,4.5,760.0,11,60.79,750.0,11,272.63,727.0,Olympics,2004-08-23,Athens
333,19,Stefan Drews,25.0,Germany,7926.0,14,10.87,890,11T,7.38,905.0,34,13.07,672,28T,1.88,696,5,48.51,885.0,2T,14.01,973.0,29,40.11,667,4,5.0,910.0,29,51.53,611.0,14,274.21,717.0,Olympics,2004-08-23,Athens
334,20,Aleksandr Parkhomenko,23.0,Belarus,7917.999999999997,32T,11.14,830,36,6.61,723.0,5,15.69,832,9,2.03,831,29,51.04,767.0,22,14.88,864.0,23T,41.9,703,12,4.8,849.0,3,65.82,826.0,18,277.94,693.0,Olympics,2004-08-23,Athens
335,21,Paul Terek,24.0,United States,7893.0,19,10.92,878,30,6.94,799.0,9,15.15,799,19,1.94,749,21,49.56,835.0,29,15.12,835.0,9T,45.62,780,2,5.3,1004.0,30,50.62,598.0,28,290.36,616.0,Olympics,2004-08-23,Athens
336,22,David GÃ³mez,23.0,Spain,7865.0,29T,11.08,843,17T,7.26,876.0,19,14.57,763,33T,1.85,670,6,48.61,880.0,17,14.41,922.0,26,40.95,684,27T,4.4,731.0,12,60.71,749.0,8,269.7,747.0,Olympics,2004-08-23,Athens
337,23,Indrek Turi,23.0,Estonia,7707.999999999997,29T,11.08,843,31,6.91,792.0,28,13.62,705,8,2.03,831,32,51.67,739.0,13,14.26,941.0,32,39.83,661,13T,4.8,849.0,14,59.34,728.0,27,290.01,619.0,Olympics,2004-08-23,Athens
338,24,Santiago Lorenzo,26.0,Argentina,7592.0,31,11.1,838,27,7.03,821.0,33,13.22,681,31T,1.85,670,18,49.34,845.0,30,15.38,804.0,28,40.22,669,22T,4.5,760.0,18,58.36,713.0,1,263.08,791.0,Olympics,2004-08-23,Athens
339,25,JÄnis KarlivÄns,22.0,Latvia,7582.999999999997,37,11.33,789,17T,7.26,876.0,32,13.3,686,14T,1.97,776,26,50.54,790.0,25,14.98,852.0,18,43.34,733,24,4.5,760.0,28,52.92,632.0,21,278.67,689.0,Olympics,2004-08-23,Athens
340,26,Prodromos Korkizoglou,29.0,Greece,7572.999999999997,13,10.86,892,23T,7.07,830.0,15,14.81,778,21,1.94,749,30,51.16,762.0,24,14.96,854.0,8,46.07,789,17,4.7,819.0,27,53.05,634.0,30,317.0,466.0,Olympics,2004-08-23,Athens
341,27,Hans Olav Uldal,21.0,Norway,7495.0,34,11.23,810,28T,6.99,811.0,30,13.53,700,31T,1.85,670,28,50.95,771.0,28,15.09,839.0,19,43.01,726,24,4.5,760.0,13,60.0,738.0,25,281.7,670.0,Olympics,2004-08-23,Athens
342,28,Paolo Casarsa,29.0,Italy,7404.0,38,11.36,782,35,6.68,739.0,13,14.92,785,24,1.94,749,34,53.2,673.0,31,15.39,803.0,5,48.66,843,27T,4.4,731.0,16,58.62,717.0,29,296.12,582.0,Olympics,2004-08-23,Athens
343,29,EugÃ¨ne Martineau,24.0,Netherlands,7185.0,24,10.99,863,33,6.84,776.0,AC,,0,12T,2.0,803,11,49.1,857.0,27,15.02,847.0,30,40.0,665,15,4.8,849.0,5,63.62,792.0,10,271.79,733.0,Olympics,2004-08-23,Athens
344,30,Victor Covalenco,28.0,Moldova,6542.999999999997,35,11.28,799,19,7.2,862.0,35,13.04,670,33T,1.85,670,33,51.82,733.0,33,15.8,755.0,33,38.19,628,AC,,0.0,25,53.46,640.0,3,263.81,786.0,Olympics,2004-08-23,Athens
